Words,HomoDensity,Num-Neighbors,Freq-Neighbors
那个,1,10,111152
"叫, 教, 觉, 较, 窖, 轿, 醮",7,305,7141502
"么, 哟, 腰, 妖, 邀, 幺, 夭, 吆",8,278,3425563
们,1,10,2148898
"嗯, 恩",2,276,3180252
"带, 戴, 代, 袋, 逮, 黛, 贷, 岱, 怠, 绐",10,305,7146911
"中, 钟, 终, 忠, 盅, 衷",6,277,3198082
"东西, 东熙",2,13,6491
应该,1,2,376
"又, 右, 鼬, 佑, 幼, 诱, 铀, 柚, 釉, 宥, 蚴",11,306,7434035
孩子,1,51,50162
起来,1,16,9633
"才, 财, 裁, 材",4,220,2145379
所以,1,9,107670
这些,1,4,30206
"错, 挫, 锉, 措",4,304,7136056
还有,1,10,136385
"更, 经, 惊, 精, 京, 鲸, 晶, 茎, 睛, 旌, 荆, 菁, 腈, 泾",14,277,3193718
"小, 晓",2,261,6539527
该,1,277,3188948
等,1,261,6535494
问题,1,6,2034
"家, 加, 佳, 伽, 嘉, 珈, 傢, 迦, 痂, 镓, 枷, 袈, 笳",13,278,3196382
一起,1,24,25508
"位, 喂, 未, 味, 胃, 卫, 慰, 畏, 魏, 伪, 蔚, 尉, 谓",13,306,7190120
"拿, 镎",2,219,2358876
开始,1,12,4702
"帮, 邦, 梆, 浜",4,277,3209135
"年, 粘, 黏, 拈, 鮎, 鲶",6,219,2142199
"爱, 艾, 碍, 嗳, 隘, 砹, 暧",7,306,7144033
打,1,262,6585399
时间,1,26,17421
"请, 顷",2,262,6544755
"回, 茴",2,220,2414437
工作,1,36,11377
"时, 十, 什, 食, 实, 拾, 蚀, 莳, 硕, 鲥",10,220,3218824
然后,1,6,53790
"当, 铛, 裆",3,277,3192480
噢,1,306,7220568
一样,1,47,92626
"行, 型, 形, 刑, 邢",5,220,2157842
"就是, 旧事, 旧式, 就势",4,85,128487
"事情, 世情",2,31,22470
"吃, 痴, 嗤, 哧, 笞, 蚩",6,278,3195196
所有,1,12,50249
"开, 揩, 锎",3,276,3192855
一下,1,60,98810
非常,1,24,10463
"那些, 哪些",2,7,21350
"地, 第, 蒂, 帝, 递, 弟, 谛, 缔, 娣, 睇",10,306,7152825
看到,1,36,64763
希望,1,21,6698
"新, 心, 辛, 薪, 欣, 锌, 芯, 馨, 忄",9,276,3200769
"哪, 嗱",2,261,6764840
"呃, 饿, 厄, 鳄, 颚, 遏, 鄂, 扼, 噩, 轭, 腭, 愕, 萼, 搤",14,305,7147679
当然,1,15,18452
也许,1,5,3444
朋友,1,9,146264
"住, 祝, 注, 助, 著, 驻, 柱, 铸, 蛀, 炷",10,306,7153425
妈妈,1,1,311
相信,1,27,4770
"嗨, 咍",2,278,3198487
"将, 姜, 江, 僵, 浆, 缰, 疆, 殭",8,277,3204195
认为,1,20,24306
这儿,1,6,42420
"比, 笔, 彼, 鄙, 秕",5,262,6555037
今天,1,15,2514
"进, 尽, 近, 劲, 禁, 浸, 晋, 觐, 烬, 靳",10,305,7155771
明白,1,15,3274
一直,1,26,15752
"杀, 沙, 鲨, 纱, 刹, 砂, 唦, 痧",8,278,3203985
"玩, 完, 丸, 烷, 顽, 纨",6,220,2163631
看看,1,11,40309
"之, 知, 支, 汁, 织, 脂, 枝, 肢, 芝, 祗, 蜘",11,278,3286478
车,1,277,3198164
"几, 挤, 己, 脊, 戟, 嵴",6,262,6580857
地方,1,20,27275
"并, 病, 柄, 摒",4,305,7153059
不过,1,24,60779
"所, 锁, 索, 琐",4,260,6544222
"发生, 发声",2,30,75890
"后, 後, 厚, 候",4,305,7150848
回来,1,14,18683
准备,1,6,12911
找到,1,16,18032
爸爸,1,3,157
"只是, 指示, 指事",3,67,69891
"手, 首, 守",3,261,6557057
"些, 歇, 蝎",3,278,3222662
一切,1,51,100043
"啦, 拉, 菈, 柆",4,276,3200090
抱歉,1,21,17531
感觉,1,10,10127
怎么样,1,0,0
出来,1,22,6893
"正, 证, 政, 帧, 郑",5,305,7159050
不要,1,28,68319
"起, 岂, 启, 乞, 绮",5,262,6563781
对不起,1,1,46
"问, 汶, 揾",3,306,7159670
离开,1,5,2600
一点,1,33,43601
一定,1,51,103734
"以, 已, 椅, 蚁, 乙, 矣, 倚, 礒",8,262,6759878
还是,1,46,34512
"棒, 磅, 镑, 傍, 蚌, 谤, 甏",7,305,7185650
发现,1,33,17390
"必须, 必需",2,5,819
而且,1,2,5466
"意思, 易丝, 易思, 益斯",4,8,2061
放,1,306,7158619
不错,1,23,63783
"掉, 调, 钓, 吊, 莜",5,305,7153668
"月, 越, 乐, 钥, 跃, 岳, 悦, 阅, 粤",9,304,7156424
肯定,1,8,2602
"搞, 稿, 藁",3,261,6556384
"电话, 电化",2,39,24951
"写, 血",2,262,6575872
为了,1,2,1072
第一,1,19,32651
"求, 球, 裘, 囚, 酋, 虬, 巯, 逑, 泅",9,219,2154477
"医生, 一生, 一声",3,34,102862
"老, 佬, 铑, 潦",4,262,6549993
那样,1,18,107621
"大家, 大加",2,33,14101
"每, 美, 镁, 毎, 镅, 渼",6,261,6711347
您,1,217,2154917
"与, 语, 雨, 宇, 予, 羽, 屿, 禹, 伛",9,260,6564139
"难, 男, 南, 楠, 喃",5,217,2155048
一些,1,13,27118
"三, 叁",2,277,3203777
"嘛, 麻",2,220,2430597
那里,1,24,78002
"先, 仙, 鲜, 掀, 暹, 氙",6,278,3211131
"成, 城, 乘, 呈, 程, 橙, 诚, 承, 惩, 澄, 裎",11,220,2157929
以为,1,8,17874
高兴,1,17,2957
"其他, 其它",2,10,8520
过来,1,19,43295
"种, 肿, 冢, 踵",4,261,6588850
等等,1,1,202
生活,1,15,4038
"份, 分, 粪, 愤, 奋, 忿",6,306,7157595
买,1,261,6560444
"敢, 感, 赶, 杆, 擀, 秆, 橄",7,260,6551397
"另, 令",2,306,7160803
"集, 及, 吉, 急, 极, 击, 级, 即, 籍, 疾, 寂, 唧, 辑, 汲, 棘, 笈, 嫉, 岌, 亟",19,220,2203623
最后,1,23,12724
"之前, 支前",2,22,8480
"于, 鱼, 遇, 欲, 狱, 浴, 瑜, 预, 瘀, 余, 玉, 愈, 淤, 育, 谕, 御, 域, 喻, 渝, 愚, 渔, 逾, 芋, 榆, 郁, 誉, 裕, 昱, 虞, 驭, 鹬, 俞, 盂, 隅, 寓, 娱, 谀, 纡, 舆, 揄, 愉, 迂",42,276,3221897
"季, 记, 寄, 既, 剂, 计, 祭, 纪, 妓, 技, 继, 际, 济, 伎, 蓟, 忌, 暨, 冀, 悸, 骥, 髻, 荠, 茍, 觊",24,306,7204118
伙计,1,23,5396
任何,1,20,34436
很多,1,4,3444
哪儿,1,6,19417
"接, 街, 皆, 揭, 阶, 疖, 嗟, 秸",8,278,3218475
这种,1,7,59362
上帝,1,37,22704
"久, 酒, 九, 韭, 玖, 灸",6,261,6838235
"喝, 赫, 贺, 鹤, 爀, 哬",6,305,7164189
女人,1,27,42357
"名字, 明子",2,51,73021
认识,1,79,139370
今晚,1,4,2255
"头, 投",2,219,2166067
记得,1,3,46086
"穿, 川, 氚",3,278,3213160
家伙,1,17,7946
"却, 确, 雀, 鹊, 阙",5,305,7159270
"舞, 五, 武, 午, 伍, 捂, 忤, 侮",8,262,6566327
或者,1,14,12801
弄,1,304,7159255
"变, 便, 辩, 辨, 辫, 卞, 汴",7,305,7164667
过去,1,19,25079
哪里,1,15,29545
"算, 蒜",2,304,7159366
"送, 宋, 颂, 讼, 诵",5,305,7160020
担心,1,36,22562
"继续, 记叙",2,29,26973
女孩,1,9,29604
"站, 战, 占, 颤, 暂, 蘸, 栈, 湛, 绽",9,305,7160258
"呆, 待, 呔",3,277,3245256
"长, 掌",2,261,6567204
"早, 澡, 枣, 蚤, 藻",5,261,6561114
亲爱,1,19,5854
"岁, 碎, 遂, 穂, 穗, 燧, 祟, 煫",8,305,7161689
下来,1,30,46327
"够, 购, 构, 垢, 媾",5,305,7172257
"条, 佻, 迢",3,219,2169870
父亲,1,18,4468
以前,1,15,23377
跑,1,262,6556326
"片, 遍, 骗",3,304,7161743
美国,1,9,6960
"员, 元, 原, 圆, 源, 园, 缘, 猿, 援, 円, 垣, 沅, 湲, 辕, 爰",15,220,2170329
完全,1,17,7886
"枪, 腔",2,278,3216711
宝贝,1,21,42991
"狗, 苟, 枸",3,261,6567784
"谈, 谭, 痰, 潭, 坛, 檀, 荨, 覃",8,220,2167548
"半, 办, 伴, 扮, 绊, 拌, 瓣",7,305,7170380
"世界, 视界",2,47,21852
"哇, 挖, 蛙, 洼",4,278,3209031
可是,1,61,78288
"小时, 小实",2,26,12415
重要,1,23,11549
别人,1,26,22605
"男人, 南仁",2,33,28257
"场, 厂, 敞",3,262,6564112
机会,1,44,22037
"疯, 封, 风, 蜂, 峰, 锋, 丰, 枫, 砜",9,277,3209395
出去,1,27,22645
活,1,219,2325204
"刚, 钢, 冈, 岗, 缸, 肛, 纲",7,277,3208787
"动, 洞, 栋, 冻, 硐, 姛",6,305,7169254
"名, 明, 冥, 鸣, 铭, 茗, 暝",7,219,2164842
"留, 流, 瘤, 遛, 刘, 琉, 硫, 榴, 浏, 骝",10,220,2165673
看见,1,31,76189
"者, 锗",2,262,6843104
打电话,1,0,0
"生, 声, 升, 牲, 笙, 甥",6,278,3215721
好像,1,32,21023
得到,1,30,28469
警察,1,8,6144
儿子,1,51,76305
之后,1,23,206808
漂亮,1,18,6672
分钟,1,22,10498
"张, 章, 彰, 獐, 蟑",5,277,3224884
"再见, 在建",2,34,28815
"全, 权, 拳, 泉, 蜷, 诠, 痊, 醛, 颧",9,220,2164807
"句, 具, 剧, 聚, 巨, 锯, 距, 拒, 俱, 惧, 炬, 倨, 钜, 遽, 飓",15,306,7169262
如何,1,20,4833
比赛,1,13,2067
呀,1,12,2175274
情况,1,10,3884
"本, 苯",2,261,6557146
"闭, 必, 毙, 避, 毕, 碧, 哔, 臂, 壁, 币, 庇, 弊, 辟, 蔽, 敝, 俾, 璧, 贲, 毖, 篦, 铋, 筚, 痹, 弼, 婢",25,306,7189494
"真是, 珍视",2,59,41980
"书, 输, 梳, 舒, 疏, 殊, 蔬, 婌, 纾, 抒, 枢, 姝",12,278,3218594
"女士, 女式",2,51,67680
关系,1,17,11110
"路, 录, 露, 鹿, 陆, 鹭, 禄, 碌, 璐, 戮, 辘, 潞, 赂",13,305,7162792
"付, 副, 负, 父, 富, 附, 妇, 复, 腹, 覆, 赴, 赋, 傅, 馥, 阜, 蛗",16,306,7168786
马上,1,19,22173
"见到, 剑道",2,44,57224
决定,1,25,14189
根本,1,4,1787
关于,1,31,25963
那儿,1,6,46619
只要,1,26,29064
里面,1,18,10385
到底,1,14,5039
了解,1,8,17107
明天,1,16,12438
"斯, 丝, 司, 撕, 私, 思, 厮, 咝, 嘶, 锶, 厶, 俬",12,277,3261612
"公司, 公私",2,17,8051
"结束, 劫数",2,27,13920
成为,1,23,11220
永远,1,7,7156
帮助,1,17,8572
来说,1,6,2488
多少,1,4,4958
"定, 订, 锭, 腚, 碇",5,305,7167297
总,1,261,6557114
"有人, 友人",2,27,26851
"停, 庭, 亭, 廷",4,219,2225537
确定,1,18,7855
清楚,1,13,5585
"杯, 背, 卑, 悲, 碑",5,277,3279413
晚上,1,16,24563
安全,1,12,5418
怎样,1,6,1353
没什么,1,0,0
"爸, 罢, 霸, 坝",4,307,7486520
"受, 瘦, 兽, 寿, 售, 授, 狩, 痩, 绶",9,305,7187854
"歌, 哥, 割, 戈, 搁, 鸽, 镉, 胳",8,278,3388411
回家,1,18,9493
"周, 州, 粥, 洲, 舟",5,278,3211368
愿意,1,51,36112
计划,1,46,56469
"赢, 营, 迎, 蝇, 萤, 盈, 荧, 嬴, 萦, 莹, 楹",11,220,2167761
不能,1,30,19664
他妈的,1,0,0
说话,1,18,4417
"管, 馆",2,261,6566520
花,1,277,3258246
"由, 油, 游, 邮, 尤, 犹, 疣, 鱿",8,220,2491578
"无, 唔, 吾, 吴, 巫, 毋, 芜, 梧, 诬",9,220,2181809
有些,1,9,33331
"门, 钔",2,219,2203626
感谢,1,12,14325
"晚, 碗, 挽, 婉, 宛, 汍, 莞",7,262,6588785
谈谈,1,6,417
"卖, 麦, 迈",3,305,7180457
"以后, 蚁后",2,14,3891
"段, 断, 缎, 锻, 煅",5,305,7166422
照片,1,24,9684
每个,1,3,5790
欢迎,1,5,1201
"其, 奇, 骑, 期, 齐, 旗, 崎, 琪, 棋, 鳍, 祈, 脐, 岐, 琦, 骐, 歧, 祺, 埼, 耆, 淇, 鲯, 萁, 畦",23,220,2193591
兄弟,1,17,5482
"克, 课, 客, 刻, 嗑, 氪",6,306,7215435
从来,1,11,31376
总是,1,51,69006
"忙, 盲, 芒, 茫, 痝",5,217,2163647
"查, 茶, 察, 搽, 碴, 檫",6,219,2168169
嘴,1,260,6609443
"假, 架, 嫁, 价, 驾",5,306,7198093
"跳, 眺",2,305,7177933
拜托,1,4,1385
女儿,1,13,46078
"讲, 奖, 桨, 蒋",4,261,6584297
"小姐, 小解",2,18,22714
抓,1,275,3211398
"睡, 税, 蜕",3,304,7171434
"按, 案, 暗, 岸, 胺, 桉, 闇",7,305,7165697
消息,1,18,7920
"女, 钕",2,259,6557864
或许,1,7,17131
如此,1,3,76960
无法,1,15,10143
房子,1,51,79182
"连, 联, 莲, 帘, 镰, 廉, 奁",7,219,2171707
"衣服, 伊芙",2,26,34267
"辆, 亮, 量, 晾, 谅",5,305,7210387
听说,1,3,3154
参加,1,22,9532
"唯一, 惟一",2,20,3614
"使, 屎, 史, 驶, 始, 矢, 弛",7,262,7657014
办法,1,17,5534
回去,1,20,10515
人们,1,1,6519
"鸡, 机, 基, 激, 肌, 姬, 积, 迹, 矶, 玑, 叽, 饥, 羁, 稽, 畸, 畿, 绩, 箕, 讥, 屐, 鳮, 齑",22,278,3266113
该死,1,4,3870
选择,1,10,5603
"原因, 元音",2,13,2274
坏,1,304,7165141
"关, 官, 观, 棺, 鳏, 関, 倌",7,277,3222426
"四, 赐, 似, 寺, 嗣, 巳, 伺, 枱, 肆, 饲, 兕",11,305,7218557
下去,1,23,36201
"挺, 艇, 町, 梃",4,261,6623833
"忘, 望, 旺, 妄",4,305,7172840
"身, 深, 伸, 申, 砷, 绅, 呻, 柛, 莘, 鲹",10,278,3216846
"高, 糕, 膏, 睾, 睪, 羔, 篙, 皋, 髙",9,277,3231474
好好,1,16,9429
"笑, 校, 肖, 效, 孝, 咲, 啸, 酵",8,305,7200204
"混蛋, 浑蛋",2,9,1942
"搬, 班, 般, 斑, 颁, 扳, 癍, 瘢",8,277,3226201
确实,1,32,18224
"此, 跐, 泚",3,261,6607965
"换, 患, 幻, 唤, 焕, 涣",6,306,7295971
水,1,260,6567003
"喔, 欧, 殴, 鸥, 讴, 瓯, 沤",7,278,3311413
"瞧, 乔, 桥, 翘, 侨, 荞",6,220,2166772
保证,1,23,27915
学校,1,15,10475
"信, 囟",2,304,7191288
接受,1,25,11991
改变,1,17,3114
看来,1,15,49798
麻烦,1,3,455
"间, 尖, 煎, 兼, 肩, 坚, 监, 奸, 缄, 笺, 艰, 歼, 鲣, 樫, 搛, 菅",16,277,3269917
"出现, 出线",2,34,41237
打算,1,25,8943
"感到, 赶到",2,25,48426
"进来, 近来",2,24,58923
电影,1,12,5564
身上,1,35,15387
房间,1,11,34577
不管,1,25,15325
"马, 码, 玛, 蚂",4,262,6843875
特别,1,12,2435
注意,1,64,49876
"西, 吸, 嘻, 兮, 希, 膝, 溪, 携, 稀, 嬉, 析, 犀, 悉, 蜥, 熙, 唏, 皙, 硒, 奚, 晰, 熹, 牺, 矽, 徯",24,278,3221374
甚至,1,33,16151
保护,1,21,26674
真正,1,20,19077
结果,1,10,79089
表现,1,16,5241
拍,1,277,3222922
"其实, 其时",2,25,12516
"小心, 小辛",2,22,8097
"往, 网, 枉, 罔",4,261,6568419
"床, 幢",2,220,2166739
当时,1,20,35113
"懂, 董",2,261,6572357
只有,1,17,36781
"主意, 主义",2,28,15693
怎么办,1,0,0
绝对,1,29,20276
长官,1,10,11956
进去,1,22,35645
"力, 利, 丽, 立, 粒, 例, 栗, 历, 笠, 励, 吏, 蛎, 厉, 栎, 戾, 沥, 栃, 溧, 砾, 俪, 痢, 荔, 隶",23,306,7238218
至少,1,10,3014
"律师, 律诗",2,13,4876
整个,1,5,2732
听到,1,26,213522
表演,1,6,608
正在,1,24,107777
选,1,261,6560258
"气, 器, 弃, 契, 缉, 汽, 泣, 企, 砌, 憩, 碛, 迄, 讫",13,306,7197720
那边,1,14,11054
远,1,262,6575409
故事,1,78,144857
结婚,1,17,3998
猜,1,278,3254055
咱们,1,1,7990
"强, 墙, 蔷, 爿, 樯",5,220,2180043
处理,1,15,20157
"妻子, 七子",2,10,1340
"飞, 非, 菲, 妃, 鲱, 扉, 绯",7,278,3216755
进行,1,32,20259
"读, 毒, 独, 渎, 犊",5,220,2171563
内,1,303,7165792
是否,1,13,3883
刚刚,1,4,746
"探, 碳, 炭, 叹",4,306,7178353
"离, 梨, 黎, 厘, 犁, 篱, 罹, 狸, 藜, 缡, 黧, 骊",12,220,2238873
案子,1,58,27061
行动,1,19,8425
"眼, 演, 掩, 奄, 衍",5,262,6565392
"自, 字, 渍, 恣, 眦",5,305,7171829
第二,1,14,12276
"船, 传, 椽",3,220,2180524
"处, 触, 畜, 怵",4,306,7211244
努力,1,24,9634
害怕,1,4,529
"发, 伐, 沷",3,277,3219157
"同, 童, 筒, 铜, 酮, 桐, 瞳, 僮, 彤",9,220,2171850
"师, 尸, 湿, 诗, 失, 施, 狮, 虱, 蓍, 鰤",10,278,4314072
"唱, 畅",2,306,7180623
调查,1,7,723
失去,1,23,20539
成功,1,26,9166
"店, 电, 垫, 殿, 甸, 惦, 佃, 淀, 奠, 玷, 靛",11,305,7244124
考虑,1,8,5351
"犯, 饭, 范, 泛, 贩, 梵",6,306,7171890
"刚才, 钢材",2,6,3318
约会,1,18,14148
"糟, 遭",2,277,3227934
节目,1,31,15734
"万, 腕, 卍, 蟃",4,306,7200066
通过,1,15,9029
之间,1,17,9236
别的,1,3,54266
学,1,220,2167405
开心,1,44,36246
母亲,1,2,140
"靠, 铐, 犒",3,304,7168653
"提, 题, 堤, 蹄, 缇, 媞, 啼, 醍, 鳀, 鹈, 绨",11,220,2173920
"性, 姓, 幸, 杏, 倖",5,306,7202607
"节, 结, 杰, 劫, 截, 洁, 捷, 羯, 桔, 竭, 桀, 拮, 讦",13,220,2188131
丈夫,1,4,1466
变成,1,35,10307
解释,1,55,74112
联系,1,18,9471
"派, 哌",2,305,7177439
"脱, 拖, 托, 讬",4,278,3214497
"证明, 正名",2,27,15033
"线, 现, 献, 陷, 县, 限, 馅, 腺, 宪, 羡, 苋, 霰",12,306,7185090
"装, 桩, 妆, 庄",4,276,3217923
生命,1,26,16823
有点,1,16,5128
解决,1,10,22828
办公室,1,0,0
难道,1,35,38167
作为,1,19,30409
"何, 合, 河, 盒, 核, 荷, 褐, 貉, 菏, 颌, 阖, 禾",12,219,2181332
奇怪,1,13,6698
"甜, 填, 田, 恬, 畑, 畠",6,219,2218080
极了,1,3,5946
"同意, 同义, 童艺",3,39,23911
"如, 儒, 茹, 孺, 铷",5,219,2169485
"酷, 库, 裤, 袴",4,305,7171180
"脚, 角, 搅, 缴, 绞, 矫, 饺, 剿, 铰, 狡, 挢",11,261,6606533
游戏,1,22,10563
帮忙,1,2,467
"借, 戒, 界, 届, 介, 藉, 诫, 芥",8,306,7189026
危险,1,9,6757
讨厌,1,7,5464
曾经,1,5,1671
眼睛,1,12,57114
"不行, 步行",2,45,33152
"意, 亿, 易, 异, 艺, 裔, 义, 亦, 忆, 翼, 役, 溢, 议, 益, 译, 抑, 逸, 掖, 疫, 邑, 翌, 薏, 癔, 呓, 诣, 翳, 谊, 弋, 驿, 缢, 嗌, 曳, 弈, 绎, 屹, 臆, 埸",37,306,7394873
外面,1,29,22831
国家,1,14,12509
看上去,1,0,0
"控制, 空置",2,32,17815
总统,1,8,1345
伤害,1,11,4304
最近,1,24,24894
声音,1,19,5037
快乐,1,8,2319
"进入, 浸入",2,31,11426
偷,1,277,3230537
可爱,1,20,21458
"醒, 擤",2,262,6597906
能够,1,7,9013
"哈, 铪",2,275,3214356
"抱, 报, 爆, 暴, 鲍, 豹, 煲",7,305,7173227
事实上,1,0,0
"伤, 商, 熵, 殇",4,277,3329211
完成,1,21,16630
昨晚,1,1,663
"边, 编, 鞭, 煸, 蝙",5,277,3228540
医院,1,51,116745
而已,1,9,22092
"警, 井, 颈, 景, 儆, 肼, 烃, 暻, 阱",9,261,6599500
上面,1,41,45423
"圣, 剩, 胜, 盛, 晟",5,306,7179862
样子,1,58,28137
少,1,262,6565723
"夜, 页, 液, 叶, 业, 晔, 靥, 谒, 腋",9,306,7303970
有趣,1,19,7799
没关系,1,0,0
真的,1,0,0
部分,1,24,12768
要求,1,11,3666
糟糕,1,7,1123
"曾, 增, 憎, 缯, 増",5,276,3214725
"容易, 溶液",2,39,20361
除了,1,4,6697
保持,1,8,3051
虽然,1,8,30721
"记录, 纪录",2,43,38237
"幅, 服, 福, 扶, 弗, 佛, 浮, 伏, 芙, 符, 氟, 拂, 缚, 孚, 俘, 辐, 凫",17,220,2179471
"证据, 正剧",2,30,22818
想到,1,23,45340
理解,1,14,22821
"重, 崇",2,219,2171223
脸,1,261,6571931
简单,1,6,970
不同,1,30,24631
夫人,1,22,16985
父母,1,16,4143
"事实, 适时",2,51,65165
"飞机, 菲姬",2,15,4016
"清, 轻, 青, 倾, 氢, 鲭, 卿, 氰, 蜻",9,278,3249539
家庭,1,16,11688
秘密,1,9,1466
"检查, 检察",2,10,17153
"法, 珐",2,261,6568227
"直, 值, 职, 质, 植, 执, 掷, 蛰, 値, 殖, 侄, 跖",12,220,2276960
"尸体, 诗体",2,16,6546
打开,1,21,6555
"颗, 科, 棵, 柯, 磕, 苛, 珂, 髁, 窠, 坷, 瞌",11,278,3270298
早上,1,15,27976
玩笑,1,17,17004
任务,1,31,33017
"台, 抬, 苔, 跆",4,219,2233609
现场,1,24,11404
"特, 忒",2,303,7167333
转,1,261,6563826
"博士, 博世",2,50,45734
"直到, 直道",2,42,235988
"签, 千, 牵, 铅, 嵌, 谦, 迁, 阡, 仟, 愆, 钎, 扦",12,278,3315085
紧张,1,6,636
"二, 贰",2,305,7217373
"至, 治, 制, 致, 置, 智, 痣, 志, 炙, 蛭, 滞, 雉, 痔, 挚, 帜, 窒, 稚, 峙, 桎, 秩, 豸, 陟",22,306,7277295
简直,1,10,6460
"子, 仔, 紫, 籽, 梓, 滓",6,261,6568932
放弃,1,39,13789
小子,1,40,12824
电视,1,84,162429
"怕, 帕",2,305,7170163
"毁, 虫, 悔",3,262,6859355
不好意思,1,0,0
大概,1,39,9158
的确,1,7,1120
