,Character-1,Character-2,Word_Trad,Word_Sim,Stroke-1,Stroke-2,C&B-Subtitle-raw-C1,C&B-Subtitle-log-C1,C&B-Subtitle-raw-C2,C&B-Subtitle-log-C2,C&B-Subtitle-raw-W,C&B-Subtitle-log-W,HD-1,HD-2,Num-neighbor-1,Num-neighbor-2,Stroke_M,HD_M
4166,早,晨,早晨,早晨,6,11,26160.0,4.42,2163.0,3.34,1028.0,3.01,5.0,8.0,261.0,218.0,8.5,6.5
4232,死,亡,死亡,死亡,6,3,71256.0,4.85,6086.0,3.78,4274.0,3.63,1.0,2.0,261.0,219.0,4.5,1.5
5545,改,变,改變,改变,7,23,12916.0,4.11,30205.0,4.48,7434.0,3.87,1.0,7.0,261.0,305.0,15.0,4.0
5555,攻,击,攻擊,攻击,7,17,4562.0,3.66,16918.0,4.23,2677.0,3.43,12.0,19.0,277.0,220.0,12.0,15.5
5985,身,体,身體,身体,7,23,38760.0,4.59,26590.0,4.42,4764.0,3.68,10.0,1.0,278.0,262.0,15.0,5.5
6648,姐,姐,姐姐,姐姐,8,8,15933.0,4.2,15933.0,4.2,2655.0,3.42,4.0,4.0,262.0,262.0,8.0,4.0
6952,承,诺,承諾,承诺,8,16,8322.0,3.92,7138.0,3.85,1280.0,3.11,11.0,4.0,220.0,304.0,12.0,7.5
7313,服,务,服務,服务,8,11,24279.0,4.39,13515.0,4.13,2387.0,3.38,17.0,13.0,220.0,306.0,9.5,15.0
8270,信,息,信息,信息,9,10,57928.0,4.76,19106.0,4.28,3725.0,3.57,2.0,9.0,304.0,220.0,9.5,5.5
8571,封,面,封面,封面,9,9,5258.0,3.72,67015.0,4.83,697.0,2.84,9.0,2.0,277.0,305.0,9.0,5.5
8717,思,维,思維,思维,9,14,34855.0,4.54,12745.0,4.11,360.0,2.56,12.0,13.0,277.0,220.0,11.5,12.5
8942,故,事,故事,故事,9,8,11435.0,4.06,179716.0,5.25,6551.0,3.82,4.0,29.0,305.0,306.0,8.5,16.5
9927,军,队,軍隊,军队,9,12,15516.0,4.19,27111.0,4.43,1870.0,3.27,5.0,5.0,276.0,304.0,10.5,5.0
10359,借,口,借口,借口,10,3,5113.0,3.71,21385.0,4.33,1121.0,3.05,8.0,1.0,306.0,261.0,6.5,4.5
10466,原,因,原因,原因,10,6,21274.0,4.33,77540.0,4.89,7829.0,3.89,15.0,7.0,220.0,278.0,8.0,11.0
10539,夏,天,夏天,夏天,10,4,3691.0,3.57,127053.0,5.1,1065.0,3.03,4.0,2.0,305.0,277.0,7.0,3.0
10892,时,刻,時刻,时刻,10,8,162611.0,5.21,9844.0,3.99,2363.0,3.37,10.0,6.0,220.0,306.0,9.0,8.0
11050,桌,子,桌子,桌子,10,3,3653.0,3.56,177693.0,5.25,1641.0,3.22,3.0,6.0,276.0,261.0,6.5,4.5
11905,记,载,記載,记载,10,13,39008.0,4.59,2197.0,3.34,183.0,2.26,24.0,3.0,306.0,305.0,11.5,13.5
12156,酒,店,酒店,酒店,10,8,21171.0,4.33,11021.0,4.04,2061.0,3.31,6.0,11.0,261.0,305.0,9.0,8.5
12627,区,域,區域,区域,11,11,11770.0,4.07,2003.0,3.3,1133.0,3.05,10.0,42.0,277.0,276.0,11.0,26.0
12655,唱,片,唱片,唱片,11,4,11922.0,4.08,21431.0,4.33,955.0,2.98,2.0,3.0,306.0,304.0,7.5,2.5
12687,商,业,商業,商业,11,13,6928.0,3.84,13928.0,4.14,680.0,2.83,4.0,9.0,277.0,306.0,12.0,6.5
12875,婚,姻,婚姻,婚姻,11,9,19494.0,4.29,2245.0,3.35,2187.0,3.34,3.0,7.0,277.0,278.0,10.0,5.0
13624,晚,餐,晚餐,晚餐,11,16,50512.0,4.7,10547.0,4.02,2408.0,3.38,7.0,2.0,262.0,277.0,13.5,4.5
13938,猜,想,猜想,猜想,11,13,9953.0,4.0,247453.0,5.39,270.0,2.43,1.0,4.0,278.0,262.0,12.0,2.5
14969,麻,烦,麻煩,麻烦,11,13,11963.0,4.08,12442.0,4.09,7376.0,3.87,2.0,10.0,220.0,220.0,12.0,6.0
15189,报,告,報告,报告,12,7,21904.0,4.34,76599.0,4.88,3912.0,3.59,7.0,3.0,305.0,305.0,9.5,5.0
16184,窗,户,窗戶,窗户,12,4,3573.0,3.55,5836.0,3.77,1367.0,3.14,2.0,8.0,278.0,306.0,8.0,5.0
16995,顺,序,順序,顺序,12,7,6884.0,3.84,2630.0,3.42,325.0,2.51,2.0,11.0,304.0,305.0,9.5,6.5
17345,想,法,想法,想法,13,8,247453.0,5.39,60750.0,4.78,4574.0,3.66,4.0,2.0,262.0,261.0,10.5,3.0
17420,感,受,感受,感受,13,8,61054.0,4.79,38688.0,4.59,2775.0,3.44,7.0,9.0,260.0,305.0,10.5,8.0
17632,会,面,會面,会面,13,9,321488.0,5.51,67015.0,4.83,736.0,2.87,15.0,2.0,306.0,305.0,11.0,8.5
17652,会,议,會議,会议,13,20,321488.0,5.51,14943.0,4.17,1918.0,3.28,15.0,37.0,306.0,306.0,16.5,26.0
18233,蜂,蜜,蜂蜜,蜂蜜,13,14,1413.0,3.15,2405.0,3.38,208.0,2.32,9.0,8.0,277.0,306.0,13.5,8.5
18929,图,片,圖片,图片,14,4,10910.0,4.04,21431.0,4.33,454.0,2.66,8.0,3.0,220.0,304.0,9.0,5.5
19006,伙,伴,夥伴,伙伴,14,7,37637.0,4.58,4854.0,3.69,1200.0,3.08,3.0,7.0,261.0,305.0,10.5,5.0
19278,荣,誉,榮譽,荣誉,14,21,4688.0,3.67,1461.0,3.16,815.0,2.91,12.0,42.0,217.0,276.0,17.5,27.0
19747,聚,会,聚會,聚会,14,13,4585.0,3.66,321488.0,5.51,2206.0,3.34,15.0,15.0,306.0,306.0,13.5,15.0
20204,肮,脏,骯髒,肮脏,14,23,658.0,2.82,5786.0,3.76,655.0,2.82,3.0,4.0,276.0,304.0,18.5,3.5
20673,数,字,數字,数字,15,6,14754.0,4.17,22743.0,4.36,1425.0,3.15,9.0,5.0,262.0,305.0,10.5,7.0
21185,课,程,課程,课程,15,12,5285.0,3.72,10184.0,4.01,673.0,2.83,6.0,11.0,306.0,220.0,13.5,8.5
21748,学,院,學院,学院,16,10,41964.0,4.62,13564.0,4.13,889.0,2.95,1.0,5.0,220.0,306.0,13.0,3.0
21974,机,会,機會,机会,16,13,48902.0,4.69,321488.0,5.51,11571.0,4.06,22.0,15.0,278.0,306.0,14.5,18.5
22472,钱,财,錢財,钱财,16,10,35222.0,4.55,3305.0,3.52,100.0,2.0,8.0,4.0,220.0,220.0,13.0,6.0
22711,婴,儿,嬰兒,婴儿,17,8,1676.0,3.22,105402.0,5.02,1409.0,3.15,8.0,3.0,278.0,219.0,12.5,5.5
22838,检,查,檢查,检查,17,9,9493.0,3.98,31095.0,4.49,4967.0,3.7,14.0,6.0,261.0,219.0,13.0,10.0
23663,借,口,藉口,借口,18,3,5113.0,3.71,21385.0,4.33,1121.0,3.05,8.0,1.0,306.0,261.0,10.5,4.5
24514,警,察,警察,警察,20,14,32561.0,4.51,16540.0,4.22,11176.0,4.05,9.0,6.0,261.0,219.0,17.0,7.5
